rank,company_name,website
264,Dominion Energy,https://www.dominionenergy.com/
265,Kyndryl Holdings,https://www.kyndryl.com/
266,Republic Services,https://www.republicservices.com/
267,Devon Energy,https://www.devonenergy.com/
268,Illinois Tool Works,https://www.itw.com/
269,Northern Trust,https://www.northerntrust.com/
270,Auto-Owners Insurance,https://www.auto-owners.com/
271,Universal Health Services,https://www.uhs.com/
272,Pacific Life,https://www.pacificlife.com/
273,EchoStar,https://www.echostar.com/
274,Ecolab,https://www.ecolab.com/
275,Cheniere Energy,https://www.cheniere.com/
276,Omnicom Group,https://www.omnicomgroup.com/
277,Texas Instruments,https://quartr.com/products/quartr-api
278,United States Steel,https://www.ussteel.com/
279,Estee Lauder,https://www.elcompanies.com/
280,Farmers Insurance Exchange,https://www.farmers.com/
281,Kenvue,https://www.kenvue.com/
282,IQVIA Holdings,https://www.iqvia.com/
283,Stanley Black & Decker,https://www.stanleyblackanddecker.com/
284,Keurig Dr Pepper,https://www.keurigdrpepper.com/
285,United Rentals,https://www.unitedrentals.com/
286,Consolidated Edison,https://www.conedison.com/
287,Amphenol,https://www.amphenol.com/
288,Baxter International,https://www.baxter.com/
289,Kinder Morgan,https://www.kindermorgan.com/
290,Gap,https://www.gapinc.com/
291,Nordstrom,https://www.nordstrom.com/
292,Super Micro Computer,https://www.supermicro.com/
293,First Citizens BancShares,https://www.firstcitizens.com/
294,Raymond James Financial,https://www.raymondjames.com/
295,Lam Research,https://www.lamresearch.com/
296,Tractor Supply,https://www.tractorsupply.com/
297,Casey's General Stores,https://www.caseys.com/
298,Viatris,https://www.viatris.com/
299,Mutual of Omaha,https://www.mutualofomaha.com/
300,EMCOR Group,https://www.emcorgroup.com/
301,CSX,https://www.csx.com/
302,LKQ,https://www.lkqcorp.com/
303,Otis Worldwide,https://www.otis.com/
304,Sonic Automotive,https://www.sonicautomotive.com/
305,S&P Global,https://www.spglobal.com/
306,Regeneron Pharmaceuticals,https://www.regeneron.com/
307,BorgWarner,https://www.borgwarner.com/
308,Fox,https://www.foxcorporation.com/
309,Reliance,https://reliance.com/
310,Western & Southern Financial Group,https://www.westernsouthern.com/
311,Textron,https://www.textron.com/
312,Expedia Group,https://www.expediagroup.com/
